id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,place_town_name,place_county_name,place_state_name,place_country_name,place_admin1_name,place_admin2_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,field:plant number (from tag or map),field:plant health condition,field:foliage - insect feeding,field:foliage - deformation,field:foliage health comments,field:woody tissue -  structural damage,field:woody tissue - signs of disease,field:woody tissue - insect activity,field:woody tissue - symptoms,field:woody tissues health comments,field:root collar - signs of disease,field:root collar health comments,field:critical root zone (within canopy drip line) - damage or concerns,field:other abnormalities comments,field:are baby redcedar trees present within sight?,field:brief tree health description,field:did the tree have any bark discoloration (eg. browning),field:dieback percent,field:evidence of wood borers or bark beetles?,field:leaf production or drop timing,field:location name - community spaces,field:location type - community spaces,field:most prevalent understory species,field:number of additional unhealthy trees (of same species) in area (within sight),field:optional - access to water,field:optional - estimated time spent to make this observation (# of minutes),field:optional - signs of sap sucker feeding?,field:optional - tree size,field:optional - what 'other factors' were observed?,"field:other factors - are there signs or symptoms of insect, diseases, or other damage?",field:percent canopy affected (%),field:powdery mildew - percent coverage,field:powdery mildew?,field:sample submitted to laboratory?,field:signs of sooty bark disease?,field:suspected phytophthora infection?,field:tree canopy symptoms,field:tree canopy symptoms - birch,field:tree canopy symptoms - maple,field:tree canopy symptoms - wrc - simplified,field:tree condition,field:tree diameter,field:tree diameter (inches),field:tree equity score,field:tree health condition,field:tree health issue,field:tree height total (ft),field:tree number,field:tree number (from google map) if applicable,field:urban tree health condition
359019144,aded9459-2152-4613-8309-86efbef2172f,2026-05-06 13:18:06-07:00,2026-05-06,2026-05-06 20:18:06 UTC,Pacific Time (US & Canada),9848086,andrew_shams,Andrew Shams,2026-05-06 20:20:04 UTC,2026-05-06 20:28:16 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/359019144,https://inaturalist-open-data.s3.amazonaws.com/photos/654994884/medium.jpg,,"","",0,0,false,3,"S Frontage Rd, Tacoma, WA, US",47.2466088997,-122.3886998614,9,,,,9,,open,false,,,Tacoma,Pierce,Washington,United States,Washington,Pierce,"",Pinus contorta contorta,Shore Pine,Plantae,80130,POT 2-6,Fair,None,Low,"",None,Split Bark,None,None,"",None,"",None,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359020248,deed098c-fcda-40b5-8ddd-751db66725dd,2026-05-06 13:20:17-07:00,2026-05-06,2026-05-06 20:20:17 UTC,Pacific Time (US & Canada),9848086,andrew_shams,Andrew Shams,2026-05-06 20:24:15 UTC,2026-05-06 20:36:01 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/359020248,https://inaturalist-open-data.s3.amazonaws.com/photos/655001250/medium.jpg,,"","",0,0,false,3,"Port of Tacoma Rd, Tacoma, WA, US",47.24659622,-122.3887599375,8,,,,8,,open,false,,,Tacoma,Pierce,Washington,United States,Washington,Pierce,"",Pinus contorta contorta,Shore Pine,Plantae,80130,POT 2-6,Fair,None,Low,"",None,None,None,None,"",None,"",None,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359022531,b371d8b0-5965-4311-b102-c4bb129a88f0,2026-05-06 13:28:45-07:00,2026-05-06,2026-05-06 20:28:45 UTC,Pacific Time (US & Canada),9848086,andrew_shams,Andrew Shams,2026-05-06 20:32:59 UTC,2026-05-06 20:36:34 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/359022531,https://inaturalist-open-data.s3.amazonaws.com/photos/655001618/medium.jpg,,"","",0,0,false,3,"Port of Tacoma Rd, Tacoma, WA, US",47.2465282079,-122.3887484157,4,,,,4,,open,false,,,Tacoma,Pierce,Washington,United States,Washington,Pierce,"",Quercus garryana,Oregon oak,Plantae,68632,POT 3-1,Poor,High,High,"",Broken,Other,Other,Epicormic shoots,Something was feeding on the shoots.,None,"",None,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359023534,8a43d61b-3284-43e9-9df7-9eecd5aba95a,2026-05-06 13:32:44-07:00,2026-05-06,2026-05-06 20:32:44 UTC,Pacific Time (US & Canada),9848086,andrew_shams,Andrew Shams,2026-05-06 20:36:44 UTC,2026-05-06 20:49:15 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/359023534,https://inaturalist-open-data.s3.amazonaws.com/photos/655003482/medium.jpg,,"","",0,0,false,3,"Port of Tacoma Rd, Tacoma, WA, US",47.2465671085,-122.3887717767,5,,,,5,,open,false,,,Tacoma,Pierce,Washington,United States,Washington,Pierce,"",Quercus garryana,Oregon oak,Plantae,68632,POT 3-2,Poor,None,None,"",Other,Cankers,Exit/Entry Holes,Bark Loss,"",None,"",None,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359026215,f0b846ee-2523-4270-8b34-26926bdd31d8,2026-05-06 13:39:17-07:00,2026-05-06,2026-05-06 20:39:17 UTC,Pacific Time (US & Canada),9848086,andrew_shams,Andrew Shams,2026-05-06 20:48:13 UTC,2026-05-06 20:50:12 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/359026215,https://inaturalist-open-data.s3.amazonaws.com/photos/655009085/medium.jpg,,"","",0,0,false,3,"Port of Tacoma Rd, Tacoma, WA, US",47.2466102044,-122.3887593986,9,,,,9,,open,false,,,Tacoma,Pierce,Washington,United States,Washington,Pierce,"",Quercus garryana,Oregon oak,Plantae,68632,POT 3-3,Fair,None,None,"",None,None,None,None,"",None,"",None,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359026444,4ec63af5-e336-4928-9a82-918c493a1d06,2026-05-06 13:45:49-07:00,2026-05-06,2026-05-06 20:45:49 UTC,Pacific Time (US & Canada),9848086,andrew_shams,Andrew Shams,2026-05-06 20:48:50 UTC,2026-05-06 20:50:36 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/359026444,https://inaturalist-open-data.s3.amazonaws.com/photos/655009431/medium.jpg,,"","",0,0,false,3,"Port of Tacoma Rd, Tacoma, WA, US",47.2465838032,-122.3887263562,9,,,,9,,open,false,,,Tacoma,Pierce,Washington,United States,Washington,Pierce,"",Quercus garryana,Oregon oak,Plantae,68632,POT 3-4,Fair,None,None,"",Other,Split Bark,None,Bark Loss,"",None,"",None,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359026841,51b12854-61b7-4f35-8369-d0ccc614d972,2026-05-06 13:48:53-07:00,2026-05-06,2026-05-06 20:48:53 UTC,Pacific Time (US & Canada),9848086,andrew_shams,Andrew Shams,2026-05-06 20:50:45 UTC,2026-05-06 20:53:05 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/359026841,https://inaturalist-open-data.s3.amazonaws.com/photos/655010639/medium.jpg,,"","",0,0,false,3,"Port of Tacoma Rd, Tacoma, WA, US",47.2465692287,-122.3887223407,14,,,,14,,open,false,,,Tacoma,Pierce,Washington,United States,Washington,Pierce,"",Quercus garryana,Oregon oak,Plantae,68632,POT 3-5,Fair,None,None,"",Other,Cankers,None,Bark Loss,"",None,"",None,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359027594,284291b1-354d-4cd3-85b5-7ae4688e6cf0,2026-05-06 13:51:51-07:00,2026-05-06,2026-05-06 20:51:51 UTC,Pacific Time (US & Canada),9848086,andrew_shams,Andrew Shams,2026-05-06 20:53:19 UTC,2026-05-06 20:54:53 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/359027594,https://inaturalist-open-data.s3.amazonaws.com/photos/655011878/medium.jpg,,"","",0,0,true,3,"Port of Tacoma Rd, Tacoma, WA, US",47.2457710497,-122.3871838181,694,,,,694,,open,false,,,Tacoma,Pierce,Washington,United States,Washington,Pierce,"",Quercus garryana,Oregon oak,Plantae,68632,POT 3-6,Fair,None,None,"",Other,Cankers,None,Bark Loss,"",None,"",None,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359029070,e7055743-f4f0-4f30-98ef-6e03f0264391,2026-05-06 13:55:00-07:00,2026-05-06,2026-05-06 20:55:00 UTC,Pacific Time (US & Canada),9848086,andrew_shams,Andrew Shams,2026-05-06 20:58:29 UTC,2026-05-06 21:05:13 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/359029070,https://inaturalist-open-data.s3.amazonaws.com/photos/655014530/medium.jpg,,"","",0,0,true,3,"S Frontage Rd, Tacoma, WA, US",47.2464400845,-122.3887235666,7,,,,7,,open,false,,,Tacoma,Pierce,Washington,United States,Washington,Pierce,"",Prunus emarginata,Bitter cherry,Plantae,63905,POT 4-1,Fair,Low,Low,"",Broken,Cankers,None,None,"",None,"",None,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359030601,71bc79f4-a49f-4811-8cd7-d305e4102272,2026-05-06 13:59:30-07:00,2026-05-06,2026-05-06 20:59:30 UTC,Pacific Time (US & Canada),9848086,andrew_shams,Andrew Shams,2026-05-06 21:04:13 UTC,2026-05-06 21:05:56 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/359030601,https://inaturalist-open-data.s3.amazonaws.com/photos/655017921/medium.jpg,,"","",0,0,true,3,"Port of Tacoma Rd, Tacoma, WA, US",47.2464730879,-122.3887522406,10,,,,10,,open,false,,,Tacoma,Pierce,Washington,United States,Washington,Pierce,"",Prunus emarginata,Bitter cherry,Plantae,63905,POT 4-2,Poor,Low,High,A lot of foliage growing on bottom,Cracking,None,None,None,"",None,"",None,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359031370,8ba4b86e-5a4b-4dd8-8e3b-eaa769896a25,2026-05-06 14:04:05-07:00,2026-05-06,2026-05-06 21:04:05 UTC,Pacific Time (US & Canada),9848086,andrew_shams,Andrew Shams,2026-05-06 21:07:41 UTC,2026-05-06 21:09:38 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/359031370,https://inaturalist-open-data.s3.amazonaws.com/photos/655019745/medium.jpg,,"","",0,0,true,3,"12th St E, Fife, WA, US",47.246523514,-122.3887629072,8,,,,8,,open,false,,,Tacoma,Pierce,Washington,United States,Washington,Pierce,"",Prunus emarginata,Bitter cherry,Plantae,63905,POT 4-3,Fair,Low,Medium,"",None,Cankers,None,Epicormic shoots,"",None,"",None,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
